"pathway","R2_marginal","R2_conditional","p_LRT","p_FDR","n_features"
"pw_4",0.384225275165313,0.687330654515497,0.000994811742326055,0.0119377409079127,5
"pw_1",0.846610912004243,0.918207481041015,0.0847533092403693,0.222659611287338,5
"pw_2",0.458699781950347,0.581997285859282,0.0529365336975862,0.222659611287338,1
"pw_8",0.532785297666992,0.716133856775974,0.100787004865428,0.222659611287338,5
"pw_12",0.694460083068901,0.70896682486978,0.13261335942448,0.222659611287338,3
"pw_13",0.804131101765739,0.848921926522921,0.111507561871256,0.222659611287338,5
"pw_15",0.208223350353552,0.461984803863648,0.148439740858226,0.222659611287338,5
"pw_16",0.56213444234261,0.69856261370151,0.133163310157955,0.222659611287338,2
"pw_3",0.409211953888449,0.589486659190668,0.175805245798802,0.234406994398403,5
"pw_5",0.609843441265848,0.702578694454487,0.352155348218645,0.422586417862374,5
"pw_14",0.343837093172664,0.557253620702902,0.80015510200871,0.80015510200871,3
"pw_22",0.901947231485582,0.922074335293052,0.773144143983802,0.80015510200871,5
