"rad_col","feature","n_folds","pct_folds","feature_name"
"rad_1707","z_rad_1707",28,100,"T2_T2_GLCM_Bins-128_Radius-1_AutoCorrelation"
"rad_1950","z_rad_1950",28,100,"T2_T2_GLSZM_Bins-128_Radius-3_LargeZoneLowGreyLevelEmphasis"
"rad_1930","z_rad_1930",27,96.4285714285714,"T2_T2_GLCM_Bins-128_Radius-3_Energy"
"rad_1945","z_rad_1945",20,71.4285714285714,"T2_T2_GLSZM_Bins-128_Radius-3_GreyLevelNonUniformityNormalized"
"rad_1363","z_rad_1363",16,57.1428571428571,"T2_T2_Histogram_Bins-64_Kurtosis"
"rad_3909","z_rad_3909",4,14.2857142857143,"FLAIR_FLAIR_GLSZM_Bins-128_Radius-3_LargeZoneHighGreyLevelEmphasis"
"rad_1000","z_rad_1000",2,7.14285714285714,"T2_T2_skewness-CoLlAGe_correlation_ws=3"
"rad_2134","z_rad_2134",1,3.57142857142857,"T1ce_T1Gd_Histogram_Bins-16_QuartileCoefficientOfVariation"
"rad_2635","z_rad_2635",1,3.57142857142857,"T1ce_T1Gd_Histogram_Bins-128_Bin-8_Probability"
