"pathway","R2m_null","R2m_full","delta_R2m","R2c_null","R2c_full","LRT_p"
"pw_4",0.170007173907757,0.384225275165313,0.214218101257556,0.514822184196662,0.687330654515497,0.000994811742326055
"pw_15",0.0593826963165724,0.208223350353552,0.148840654036979,0.561946958752993,0.461984803863648,0.148439740858226
"pw_3",0.338977263472813,0.409211953888449,0.070234690415636,0.595595482453353,0.589486659190668,0.175805245798802
"pw_8",0.469993190252245,0.532785297666992,0.0627921074147469,0.696136090461545,0.716133856775974,0.100787004865428
"pw_2",0.424520569492766,0.458699781950347,0.0341792124575812,0.629482990259331,0.581997285859282,0.0529365336975862
"pw_5",0.5797749486167,0.609843441265848,0.0300684926491479,0.721263239201142,0.702578694454487,0.352155348218645
"pw_12",0.670736836167116,0.694460083068901,0.023723246901785,0.713949401733495,0.70896682486978,0.13261335942448
"pw_16",0.545958172192087,0.56213444234261,0.0161762701505231,0.7012519208315,0.69856261370151,0.133163310157955
"pw_13",0.788732218196636,0.804131101765739,0.0153988835691029,0.832058701364777,0.848921926522921,0.111507561871256
"pw_1",0.836648311997933,0.846610912004243,0.00996260000630989,0.902237795405153,0.918207481041015,0.0847533092403693
"pw_22",0.906143442838181,0.901947231485582,-0.00419621135259962,0.929216719659705,0.922074335293052,0.773144143983802
"pw_14",0.35151199602669,0.343837093172664,-0.00767490285402683,0.569613009117782,0.557253620702902,0.80015510200871
